
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2018-03-22


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, chi-chi
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 1180, -, 1.0, -, 31.6, 54.4, 0.8, "Chi-Chi_ Taiwan", 1999, "CHY002", 7.62, Reverse Oblique, 24.96, 24.96, 235.13, 0.0375, 1.0, RSN1180_CHICHI_CHY002-N.AT2, RSN1180_CHICHI_CHY002-W.AT2 , RSN1180_CHICHI_CHY002-V.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-1180 SRSS pSa (g)
0.01,0.17636196,0.17636196,0.17636196,0.17636196
0.02,0.17660606,0.17660606,0.17660606,0.17660606
0.022,0.1771606,0.1771606,0.1771606,0.1771606
0.025,0.17860252,0.17860252,0.17860252,0.17860252
0.029,0.17977631,0.17977631,0.17977631,0.17977631
0.03,0.1795938,0.1795938,0.1795938,0.1795938
0.032,0.17926602,0.17926602,0.17926602,0.17926602
0.035,0.18090789,0.18090789,0.18090789,0.18090789
0.036,0.18143385,0.18143385,0.18143385,0.18143385
0.04,0.18086353,0.18086353,0.18086353,0.18086353
0.042,0.18347739,0.18347739,0.18347739,0.18347739
0.044,0.18440501,0.18440501,0.18440501,0.18440501
0.045,0.18316128,0.18316128,0.18316128,0.18316128
0.046,0.18168644,0.18168644,0.18168644,0.18168644
0.048,0.18306998,0.18306998,0.18306998,0.18306998
0.05,0.18423644,0.18423644,0.18423644,0.18423644
0.055,0.18199037,0.18199037,0.18199037,0.18199037
0.06,0.19320717,0.19320717,0.19320717,0.19320717
0.065,0.20185412,0.20185412,0.20185412,0.20185412
0.067,0.20646855,0.20646855,0.20646855,0.20646855
0.07,0.209626,0.209626,0.209626,0.209626
0.075,0.19114484,0.19114484,0.19114484,0.19114484
0.08,0.20170594,0.20170594,0.20170594,0.20170594
0.085,0.20430351,0.20430351,0.20430351,0.20430351
0.09,0.20513549,0.20513549,0.20513549,0.20513549
0.095,0.20015744,0.20015744,0.20015744,0.20015744
0.1,0.1955202,0.1955202,0.1955202,0.1955202
0.11,0.20936618,0.20936618,0.20936618,0.20936618
0.12,0.20802508,0.20802508,0.20802508,0.20802508
0.13,0.21080716,0.21080716,0.21080716,0.21080716
0.133,0.21559702,0.21559702,0.21559702,0.21559702
0.14,0.22100243,0.22100243,0.22100243,0.22100243
0.15,0.2042468,0.2042468,0.2042468,0.2042468
0.16,0.23815783,0.23815783,0.23815783,0.23815783
0.17,0.26947473,0.26947473,0.26947473,0.26947473
0.18,0.23226519,0.23226519,0.23226519,0.23226519
0.19,0.21826988,0.21826988,0.21826988,0.21826988
0.2,0.25425519,0.25425519,0.25425519,0.25425519
0.22,0.31579887,0.31579887,0.31579887,0.31579887
